idx;txt
0;\textcolor[rgb]{0.936,0.424,0.135}{The} \textcolor[rgb]{0.712,0.204,0.344}{image} \textcolor[rgb]{0.099,0.046,0.244}{is} \textcolor[rgb]{0.628,0.167,0.386}{an} \textcolor[rgb]{0.712,0.204,0.344}{oil} \textcolor[rgb]{0.008,0.006,0.047}{painting} \textcolor[rgb]{0.786,0.247,0.295}{depicting} \textcolor[rgb]{0.952,0.462,0.105}{a} \textcolor[rgb]{0.936,0.424,0.135}{vase} \textcolor[rgb]{0.578,0.148,0.404}{with} \textcolor[rgb]{0.969,0.516,0.063}{a} \textcolor[rgb]{0.741,0.219,0.327}{bouquet} \textcolor[rgb]{0.578,0.148,0.404}{of} \textcolor[rgb]{0.936,0.424,0.135}{pink} \textcolor[rgb]{0.712,0.204,0.344}{and} \textcolor[rgb]{0.890,0.348,0.198}{purple} \textcolor[rgb]{0.541,0.135,0.415}{flowers} \textcolor[rgb]{0.578,0.148,0.404}{against} \textcolor[rgb]{0.056,0.035,0.168}{a} \textcolor[rgb]{0.541,0.135,0.415}{blue} \textcolor[rgb]{0.909,0.376,0.175}{background.}
1;\textcolor[rgb]{0.029,0.022,0.115}{The} \textcolor[rgb]{0.360,0.069,0.431}{image} \textcolor[rgb]{0.447,0.102,0.431}{features} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.969,0.516,0.063}{illustration} \textcolor[rgb]{0.712,0.204,0.344}{of} \textcolor[rgb]{0.786,0.247,0.295}{purple} \textcolor[rgb]{0.665,0.182,0.370}{flowers} \textcolor[rgb]{0.969,0.516,0.063}{with} \textcolor[rgb]{0.936,0.424,0.135}{a} \textcolor[rgb]{0.856,0.307,0.235}{green} \textcolor[rgb]{0.936,0.424,0.135}{leaves,} \textcolor[rgb]{0.665,0.182,0.370}{set} \textcolor[rgb]{0.628,0.167,0.386}{against} \textcolor[rgb]{0.129,0.047,0.291}{a} \textcolor[rgb]{0.856,0.307,0.235}{white} \textcolor[rgb]{0.909,0.376,0.175}{background.}
2;\textcolor[rgb]{0.936,0.424,0.135}{The} \textcolor[rgb]{0.969,0.516,0.063}{image} \textcolor[rgb]{0.741,0.219,0.327}{shows} \textcolor[rgb]{0.578,0.148,0.404}{a} \textcolor[rgb]{0.936,0.424,0.135}{collection} \textcolor[rgb]{0.238,0.037,0.396}{of} \textcolor[rgb]{0.712,0.204,0.344}{red} \textcolor[rgb]{0.909,0.376,0.175}{roses} \textcolor[rgb]{0.008,0.006,0.047}{arranged} \textcolor[rgb]{0.827,0.280,0.262}{on} \textcolor[rgb]{0.129,0.047,0.291}{a} \textcolor[rgb]{0.541,0.135,0.415}{white} \textcolor[rgb]{0.890,0.348,0.198}{background.}
3;\textcolor[rgb]{0.183,0.040,0.355}{The} \textcolor[rgb]{0.578,0.148,0.404}{image} \textcolor[rgb]{0.952,0.462,0.105}{shows} \textcolor[rgb]{0.029,0.022,0.115}{a} \textcolor[rgb]{0.969,0.516,0.063}{close-up} \textcolor[rgb]{0.909,0.376,0.175}{of} \textcolor[rgb]{0.628,0.167,0.386}{a} \textcolor[rgb]{0.129,0.047,0.291}{black} \textcolor[rgb]{0.712,0.204,0.344}{alloy} \textcolor[rgb]{0.628,0.167,0.386}{wheel} \textcolor[rgb]{0.447,0.102,0.431}{with} \textcolor[rgb]{0.909,0.376,0.175}{a} \textcolor[rgb]{0.969,0.516,0.063}{design} \textcolor[rgb]{0.952,0.462,0.105}{featuring} \textcolor[rgb]{0.447,0.102,0.431}{a} \textcolor[rgb]{0.741,0.219,0.327}{logo} \textcolor[rgb]{0.952,0.462,0.105}{on} \textcolor[rgb]{0.856,0.307,0.235}{the} \textcolor[rgb]{0.541,0.135,0.415}{center.}
4;\textcolor[rgb]{0.969,0.516,0.063}{A} \textcolor[rgb]{0.952,0.462,0.105}{pair} \textcolor[rgb]{0.099,0.046,0.244}{of} \textcolor[rgb]{0.741,0.219,0.327}{brown} \textcolor[rgb]{0.712,0.204,0.344}{leather} \textcolor[rgb]{0.008,0.006,0.047}{shoes} \textcolor[rgb]{0.541,0.135,0.415}{with} \textcolor[rgb]{0.952,0.462,0.105}{laces} \textcolor[rgb]{0.978,0.558,0.035}{is} \textcolor[rgb]{0.890,0.348,0.198}{displayed} \textcolor[rgb]{0.952,0.462,0.105}{against} \textcolor[rgb]{0.741,0.219,0.327}{a} \textcolor[rgb]{0.856,0.307,0.235}{white} \textcolor[rgb]{0.628,0.167,0.386}{background.}
5;\textcolor[rgb]{0.909,0.376,0.175}{A} \textcolor[rgb]{0.856,0.307,0.235}{man} \textcolor[rgb]{0.969,0.516,0.063}{in} \textcolor[rgb]{0.183,0.040,0.355}{a} \textcolor[rgb]{0.890,0.348,0.198}{white} \textcolor[rgb]{0.936,0.424,0.135}{shirt} \textcolor[rgb]{0.909,0.376,0.175}{stands} \textcolor[rgb]{0.712,0.204,0.344}{against} \textcolor[rgb]{0.329,0.058,0.428}{a} \textcolor[rgb]{0.969,0.516,0.063}{background,} \textcolor[rgb]{0.978,0.558,0.035}{standing} \textcolor[rgb]{0.712,0.204,0.344}{against} \textcolor[rgb]{0.786,0.247,0.295}{a} \textcolor[rgb]{0.952,0.462,0.105}{gray} \textcolor[rgb]{0.410,0.088,0.433}{background.}
6;\textcolor[rgb]{0.541,0.135,0.415}{A} \textcolor[rgb]{0.936,0.424,0.135}{person} \textcolor[rgb]{0.712,0.204,0.344}{is} \textcolor[rgb]{0.628,0.167,0.386}{wearing} \textcolor[rgb]{0.183,0.040,0.355}{a} \textcolor[rgb]{0.786,0.247,0.295}{knitted} \textcolor[rgb]{0.890,0.348,0.198}{hat} \textcolor[rgb]{0.628,0.167,0.386}{and} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.856,0.307,0.235}{scarf,} \textcolor[rgb]{0.741,0.219,0.327}{against} \textcolor[rgb]{0.278,0.042,0.414}{a} \textcolor[rgb]{0.969,0.516,0.063}{white} \textcolor[rgb]{0.712,0.204,0.344}{background.}
7;\textcolor[rgb]{0.541,0.135,0.415}{The} \textcolor[rgb]{0.712,0.204,0.344}{image} \textcolor[rgb]{0.056,0.035,0.168}{shows} \textcolor[rgb]{0.856,0.307,0.235}{a} \textcolor[rgb]{0.541,0.135,0.415}{pair} \textcolor[rgb]{0.827,0.280,0.262}{of} \textcolor[rgb]{0.978,0.558,0.035}{multiaded} \textcolor[rgb]{0.278,0.042,0.414}{earrings} \textcolor[rgb]{0.497,0.119,0.424}{with} \textcolor[rgb]{0.969,0.516,0.063}{beads} \textcolor[rgb]{0.936,0.424,0.135}{arranged} \textcolor[rgb]{0.008,0.006,0.047}{on} \textcolor[rgb]{0.890,0.348,0.198}{a} \textcolor[rgb]{0.827,0.280,0.262}{wooden} \textcolor[rgb]{0.665,0.182,0.370}{surface.}
8;\textcolor[rgb]{0.129,0.047,0.291}{The} \textcolor[rgb]{0.183,0.040,0.355}{image} \textcolor[rgb]{0.360,0.069,0.431}{shows} \textcolor[rgb]{0.056,0.035,0.168}{a} \textcolor[rgb]{0.952,0.462,0.105}{residential} \textcolor[rgb]{0.909,0.376,0.175}{area} \textcolor[rgb]{0.856,0.307,0.235}{with} \textcolor[rgb]{0.099,0.046,0.244}{a} \textcolor[rgb]{0.936,0.424,0.135}{swimming} \textcolor[rgb]{0.628,0.167,0.386}{pool,} \textcolor[rgb]{0.578,0.148,0.404}{with} \textcolor[rgb]{0.856,0.307,0.235}{a} \textcolor[rgb]{0.969,0.516,0.063}{variety} \textcolor[rgb]{0.952,0.462,0.105}{of} \textcolor[rgb]{0.909,0.376,0.175}{plants} \textcolor[rgb]{0.786,0.247,0.295}{and} \textcolor[rgb]{0.183,0.040,0.355}{a} \textcolor[rgb]{0.952,0.462,0.105}{building} \textcolor[rgb]{0.978,0.558,0.035}{and} \textcolor[rgb]{0.786,0.247,0.295}{a} \textcolor[rgb]{0.969,0.516,0.063}{sky} \textcolor[rgb]{0.447,0.102,0.431}{in} \textcolor[rgb]{0.278,0.042,0.414}{the} \textcolor[rgb]{0.909,0.376,0.175}{background.}
9;\textcolor[rgb]{0.410,0.088,0.433}{A} \textcolor[rgb]{0.890,0.348,0.198}{green} \textcolor[rgb]{0.909,0.376,0.175}{car} \textcolor[rgb]{0.741,0.219,0.327}{is} \textcolor[rgb]{0.008,0.006,0.047}{parked} \textcolor[rgb]{0.497,0.119,0.424}{on} \textcolor[rgb]{0.665,0.182,0.370}{a} \textcolor[rgb]{0.978,0.558,0.035}{road,} \textcolor[rgb]{0.628,0.167,0.386}{with} \textcolor[rgb]{0.497,0.119,0.424}{a} \textcolor[rgb]{0.969,0.516,0.063}{backdrop} \textcolor[rgb]{0.978,0.558,0.035}{of} \textcolor[rgb]{0.952,0.462,0.105}{trees.}
