idx;txt
0;\textcolor[rgb]{0.001,0.000,0.014}{A black cat on grass}
1;\textcolor[rgb]{0.001,0.000,0.014}{A brown dog in the snow}
2;\textcolor[rgb]{0.001,0.000,0.014}{A horse running in a field}
3;\textcolor[rgb]{0.001,0.000,0.014}{A beautiful landscape with mountains}
4;\textcolor[rgb]{0.001,0.000,0.014}{A futuristic city skyline at sunset}
5;\textcolor[rgb]{0.001,0.000,0.014}{A black cat and a brown dog playing together}
6;\textcolor[rgb]{0.001,0.000,0.014}{A horse and a bear in a forest}
7;\textcolor[rgb]{0.001,0.000,0.014}{A sports car driving on a mountain road}
8;\textcolor[rgb]{0.001,0.000,0.014}{A kitchen with a chocolate cake on the table}
9;\textcolor[rgb]{0.001,0.000,0.014}{An astronaut riding a horse on the moon}
10;\textcolor[rgb]{0.001,0.000,0.014}{Santa claus delivering gifts}
11;\textcolor[rgb]{0.001,0.000,0.014}{A group of friends playing cards}
12;\textcolor[rgb]{0.001,0.000,0.014}{A man and a woman on a scooter in a countryside}
