idx;txt
0;\textcolor[rgb]{0.541,0.135,0.415}{A} \textcolor[rgb]{0.689,0.192,0.358}{yellow} \textcolor[rgb]{0.385,0.079,0.433}{dress} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.827,0.280,0.262}{white} \textcolor[rgb]{0.689,0.192,0.358}{collar} \textcolor[rgb]{0.541,0.135,0.415}{and} \textcolor[rgb]{0.827,0.280,0.262}{sleeves} \textcolor[rgb]{0.689,0.192,0.358}{is} \textcolor[rgb]{0.923,0.399,0.155}{displayed} \textcolor[rgb]{0.827,0.280,0.262}{on} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.689,0.192,0.358}{wooden} \textcolor[rgb]{0.827,0.280,0.262}{hanger} \textcolor[rgb]{0.923,0.399,0.155}{against} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.923,0.399,0.155}{white} \textcolor[rgb]{0.689,0.192,0.358}{background.}
1;\textcolor[rgb]{0.238,0.037,0.396}{A} \textcolor[rgb]{0.541,0.135,0.415}{vintage} \textcolor[rgb]{0.385,0.079,0.433}{black} \textcolor[rgb]{0.689,0.192,0.358}{car} \textcolor[rgb]{0.541,0.135,0.415}{with} \textcolor[rgb]{0.827,0.280,0.262}{red} \textcolor[rgb]{0.923,0.399,0.155}{wheels} \textcolor[rgb]{0.689,0.192,0.358}{is} \textcolor[rgb]{0.923,0.399,0.155}{displayed} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.689,0.192,0.358}{white} \textcolor[rgb]{0.541,0.135,0.415}{background.}
2;\textcolor[rgb]{0.238,0.037,0.396}{A} \textcolor[rgb]{0.385,0.079,0.433}{pair} \textcolor[rgb]{0.827,0.280,0.262}{of} \textcolor[rgb]{0.923,0.399,0.155}{brown} \textcolor[rgb]{0.077,0.042,0.206}{leather} \textcolor[rgb]{0.541,0.135,0.415}{shoes} \textcolor[rgb]{0.385,0.079,0.433}{with} \textcolor[rgb]{0.978,0.558,0.035}{intricate} \textcolor[rgb]{0.923,0.399,0.155}{detailing} \textcolor[rgb]{0.978,0.558,0.035}{and} \textcolor[rgb]{0.978,0.558,0.035}{tassel} \textcolor[rgb]{0.978,0.558,0.035}{is} \textcolor[rgb]{0.827,0.280,0.262}{displayed} \textcolor[rgb]{0.923,0.399,0.155}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{white} \textcolor[rgb]{0.689,0.192,0.358}{background.}
3;\textcolor[rgb]{0.385,0.079,0.433}{A} \textcolor[rgb]{0.541,0.135,0.415}{classic} \textcolor[rgb]{0.978,0.558,0.035}{red} \textcolor[rgb]{0.827,0.280,0.262}{car} \textcolor[rgb]{0.689,0.192,0.358}{is} \textcolor[rgb]{0.385,0.079,0.433}{parked} \textcolor[rgb]{0.541,0.135,0.415}{on} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.689,0.192,0.358}{street} \textcolor[rgb]{0.541,0.135,0.415}{with} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.923,0.399,0.155}{building} \textcolor[rgb]{0.541,0.135,0.415}{in} \textcolor[rgb]{0.827,0.280,0.262}{the} \textcolor[rgb]{0.689,0.192,0.358}{background.}
4;\textcolor[rgb]{0.541,0.135,0.415}{The} \textcolor[rgb]{0.923,0.399,0.155}{image} \textcolor[rgb]{0.385,0.079,0.433}{is} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.541,0.135,0.415}{portrait} \textcolor[rgb]{0.689,0.192,0.358}{of} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.923,0.399,0.155}{woman} \textcolor[rgb]{0.541,0.135,0.415}{with} \textcolor[rgb]{0.978,0.558,0.035}{dark} \textcolor[rgb]{0.923,0.399,0.155}{hair,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.689,0.192,0.358}{against} \textcolor[rgb]{0.689,0.192,0.358}{a} \textcolor[rgb]{0.238,0.037,0.396}{red} \textcolor[rgb]{0.689,0.192,0.358}{background.}
5;\textcolor[rgb]{0.541,0.135,0.415}{The} \textcolor[rgb]{0.827,0.280,0.262}{image} \textcolor[rgb]{0.385,0.079,0.433}{shows} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.923,0.399,0.155}{close-up} \textcolor[rgb]{0.923,0.399,0.155}{of} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.827,0.280,0.262}{brown} \textcolor[rgb]{0.385,0.079,0.433}{leather} \textcolor[rgb]{0.689,0.192,0.358}{boot} \textcolor[rgb]{0.541,0.135,0.415}{with} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.689,0.192,0.358}{pointed} \textcolor[rgb]{0.923,0.399,0.155}{toe.}
6;\textcolor[rgb]{0.541,0.135,0.415}{The} \textcolor[rgb]{0.923,0.399,0.155}{image} \textcolor[rgb]{0.238,0.037,0.396}{is} \textcolor[rgb]{0.689,0.192,0.358}{an} \textcolor[rgb]{0.827,0.280,0.262}{oil} \textcolor[rgb]{0.541,0.135,0.415}{painting} \textcolor[rgb]{0.827,0.280,0.262}{featuring} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.923,0.399,0.155}{vibrant} \textcolor[rgb]{0.689,0.192,0.358}{bouquet} \textcolor[rgb]{0.978,0.558,0.035}{of} \textcolor[rgb]{0.923,0.399,0.155}{flowers} \textcolor[rgb]{0.827,0.280,0.262}{in} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.541,0.135,0.415}{blue} \textcolor[rgb]{0.238,0.037,0.396}{vase} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.689,0.192,0.358}{a} \textcolor[rgb]{0.827,0.280,0.262}{dark} \textcolor[rgb]{0.541,0.135,0.415}{background.}
7;\textcolor[rgb]{0.385,0.079,0.433}{The} \textcolor[rgb]{0.541,0.135,0.415}{image} \textcolor[rgb]{0.978,0.558,0.035}{shows} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{pink} \textcolor[rgb]{0.541,0.135,0.415}{dress} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.541,0.135,0.415}{floral} \textcolor[rgb]{0.689,0.192,0.358}{pattern} \textcolor[rgb]{0.923,0.399,0.155}{displayed} \textcolor[rgb]{0.827,0.280,0.262}{on} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{white} \textcolor[rgb]{0.827,0.280,0.262}{background.}
8;\textcolor[rgb]{0.385,0.079,0.433}{A} \textcolor[rgb]{0.541,0.135,0.415}{blue} \textcolor[rgb]{0.238,0.037,0.396}{bicycle} \textcolor[rgb]{0.385,0.079,0.433}{with} \textcolor[rgb]{0.689,0.192,0.358}{a} \textcolor[rgb]{0.923,0.399,0.155}{basket} \textcolor[rgb]{0.827,0.280,0.262}{and} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.923,0.399,0.155}{seat} \textcolor[rgb]{0.827,0.280,0.262}{is} \textcolor[rgb]{0.923,0.399,0.155}{shown} \textcolor[rgb]{0.689,0.192,0.358}{against} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.541,0.135,0.415}{white} \textcolor[rgb]{0.827,0.280,0.262}{background.}
9;\textcolor[rgb]{0.238,0.037,0.396}{The} \textcolor[rgb]{0.827,0.280,0.262}{image} \textcolor[rgb]{0.923,0.399,0.155}{shows} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.978,0.558,0.035}{brown} \textcolor[rgb]{0.689,0.192,0.358}{leather} \textcolor[rgb]{0.827,0.280,0.262}{motorcycle} \textcolor[rgb]{0.385,0.079,0.433}{helmet} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.689,0.192,0.358}{a} \textcolor[rgb]{0.978,0.558,0.035}{strap,} \textcolor[rgb]{0.923,0.399,0.155}{against} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.689,0.192,0.358}{white} \textcolor[rgb]{0.827,0.280,0.262}{background.}
10;\textcolor[rgb]{0.385,0.079,0.433}{A} \textcolor[rgb]{0.923,0.399,0.155}{close-up} \textcolor[rgb]{0.541,0.135,0.415}{portrait} \textcolor[rgb]{0.827,0.280,0.262}{of} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.978,0.558,0.035}{man} \textcolor[rgb]{0.827,0.280,0.262}{wearing} \textcolor[rgb]{0.923,0.399,0.155}{a} \textcolor[rgb]{0.541,0.135,0.415}{brown} \textcolor[rgb]{0.923,0.399,0.155}{jacket} \textcolor[rgb]{0.689,0.192,0.358}{with} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.827,0.280,0.262}{serious} \textcolor[rgb]{0.923,0.399,0.155}{expression,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.827,0.280,0.262}{dark} \textcolor[rgb]{0.923,0.399,0.155}{background.}
11;\textcolor[rgb]{0.385,0.079,0.433}{The} \textcolor[rgb]{0.541,0.135,0.415}{image} \textcolor[rgb]{0.689,0.192,0.358}{shows} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.923,0.399,0.155}{close-up} \textcolor[rgb]{0.541,0.135,0.415}{of} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{alloy} \textcolor[rgb]{0.827,0.280,0.262}{wheel} \textcolor[rgb]{0.541,0.135,0.415}{with} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.978,0.558,0.035}{design} \textcolor[rgb]{0.923,0.399,0.155}{featuring} \textcolor[rgb]{0.541,0.135,0.415}{a} \textcolor[rgb]{0.923,0.399,0.155}{distinctive} \textcolor[rgb]{0.689,0.192,0.358}{design.}
12;\textcolor[rgb]{0.385,0.079,0.433}{A} \textcolor[rgb]{0.541,0.135,0.415}{watercolor} \textcolor[rgb]{0.923,0.399,0.155}{illustration} \textcolor[rgb]{0.689,0.192,0.358}{of} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.923,0.399,0.155}{vibrant} \textcolor[rgb]{0.689,0.192,0.358}{bird} \textcolor[rgb]{0.541,0.135,0.415}{perched} \textcolor[rgb]{0.541,0.135,0.415}{on} \textcolor[rgb]{0.923,0.399,0.155}{a} \textcolor[rgb]{0.827,0.280,0.262}{branch,} \textcolor[rgb]{0.923,0.399,0.155}{set} \textcolor[rgb]{0.827,0.280,0.262}{against} \textcolor[rgb]{0.238,0.037,0.396}{a} \textcolor[rgb]{0.541,0.135,0.415}{white} \textcolor[rgb]{0.827,0.280,0.262}{background.}
13;\textcolor[rgb]{0.385,0.079,0.433}{The} \textcolor[rgb]{0.541,0.135,0.415}{image} \textcolor[rgb]{0.923,0.399,0.155}{shows} \textcolor[rgb]{0.827,0.280,0.262}{a} \textcolor[rgb]{0.923,0.399,0.155}{wooden} \textcolor[rgb]{0.689,0.192,0.358}{table} \textcolor[rgb]{0.827,0.280,0.262}{with} \textcolor[rgb]{0.077,0.042,0.206}{a} \textcolor[rgb]{0.689,0.192,0.358}{variety} \textcolor[rgb]{0.923,0.399,0.155}{of} \textcolor[rgb]{0.541,0.135,0.415}{food} \textcolor[rgb]{0.689,0.192,0.358}{items,} \textcolor[rgb]{0.923,0.399,0.155}{vegetables,} \textcolor[rgb]{0.541,0.135,0.415}{and} \textcolor[rgb]{0.978,0.558,0.035}{a,} \textcolor[rgb]{0.978,0.558,0.035}{and} \textcolor[rgb]{0.385,0.079,0.433}{a} \textcolor[rgb]{0.923,0.399,0.155}{glass} \textcolor[rgb]{0.827,0.280,0.262}{of} \textcolor[rgb]{0.923,0.399,0.155}{beer.}
